Number of points: 232050
NW:(40.700000 , -74.000000)
SE:(40.800000 , -73.930000)

N = 20 and 200 consumer threads.

Partition  140000000 : [   0,     1]
Partition   10000000 : [   0,    12]
Partition  160000000 : [   0,     1]
Partition   30000000 : [   1,    24]
Partition   14000000 : [   0,     1]
Partition   50000000 : [   0,     4]
Partition   60000000 : [   0,     1]
Partition  181000000 : [   0,     3]
Partition  171000000 : [   0,     0]
Partition   90000000 : [   0,     6]
Partition   10000000 : [   0,     0]
Partition  173000000 : [   0,     2]
Partition   49000000 : [   0,     4]
Partition  141000000 : [   0,    11]
Partition   34000000 : [   5,   102]
Partition   21000000 : [   3,    58]
Partition   15000000 : [   0,     0]
Partition   35000000 : [   2,    39]
Partition    2000000 : [   2,    50]
Partition   25000000 : [   1,    33]
Partition  110000000 : [   5,   308]
Partition   11000000 : [   0,     2]
Partition   21000000 : [   0,    15]
Partition   31000000 : [   4,    47]
Partition   58000000 : [   0,     8]
Partition   68000000 : [   0,     1]
Partition   38000000 : [   0,     2]
Partition   71000000 : [   0,     5]
Partition    8000000 : [   0,     0]
Partition   28000000 : [   0,     1]
Partition   18000000 : [   0,     3]
Partition  111000000 : [   1,    17]
Partition  190000000 : [   0,     0]
Partition    9000000 : [   0,     0]
Partition   19000000 : [   0,     5]
Partition  195000000 : [   0,     1]
Partition    6000000 : [   0,     0]
Partition   59000000 : [   0,     1]
Partition  181000000 : [   1,    75]
Partition   79000000 : [   0,     3]
Partition  190000000 : [   3,   268]
Partition   12000000 : [   0,     2]
Partition   26000000 : [   1,    11]
Partition   32000000 : [   1,    16]
Partition  185000000 : [   1,    30]
Partition  150000000 : [   0,     4]
Partition   39000000 : [   0,     2]
Partition  162000000 : [   0,     4]
Partition   40000000 : [   0,     2]
Partition   66000000 : [   4,   189]
Partition  182000000 : [   0,     1]
Partition  193000000 : [   0,     2]
Partition  122000000 : [   3,    50]
Partition  169000000 : [   0,    14]
Partition    4000000 : [   0,     3]
Partition   17000000 : [   0,     3]
Partition  172000000 : [   0,     2]
Partition  192000000 : [   0,     0]
Partition  184000000 : [   0,     1]
Partition    5000000 : [   0,     1]
Partition   29000000 : [   0,     5]
Partition  151000000 : [   0,     2]
Partition    3000000 : [   5,    84]
Partition   33000000 : [   1,    16]
Partition   20000000 : [   1,     8]
Partition   53000000 : [   1,    20]
Partition  183000000 : [   0,     1]
Partition          0 : [   0,     1]
Partition  161000000 : [   0,     2]
Partition   93000000 : [   1,    32]
Partition  103000000 : [   0,    13]
Partition  113000000 : [   1,    12]
