Cluster_ID,Longitude,Latitude,Number_Of_Points
104,-74.01014399999998,40.720696,28
104,-74.01008,40.720883,28
104,-74.01031299999998,40.720773,28
104,-74.010063,40.720712,28
104,-74.010125,40.720965,28
104,-74.010069,40.720654,28
104,-74.010333,40.720503,28
104,-74.009898,40.720753,28
104,-74.00991999999998,40.720757,28
104,-74.00997499999998,40.72076,28
104,-74.010075,40.720879,28
104,-74.01030299999998,40.720955,28
104,-74.010238,40.721017,28
104,-74.009988,40.72111,28
104,-74.010119,40.721096,28
104,-74.00980199999998,40.720822,28
104,-74.010232,40.721097,28
104,-74.009817,40.720702,28
104,-74.00978,40.720622,28
104,-74.00976799999998,40.720702,28
104,-74.010523,40.721002,28
104,-74.00994699999998,40.721388,28
104,-74.01004299999998,40.721317,28
104,-74.00969999999998,40.721132,28
104,-74.009597,40.720692,28
104,-74.01044899999998,40.721231,28
104,-74.010711,40.720947,28
104,-74.00936699999998,40.720825,28
