Cluster_ID,Longitude,Latitude,Number_Of_Points
15,-73.977891,40.762541,237
15,-73.977891,40.762541,237
15,-73.978153,40.762627,237
15,-73.97783599999998,40.762454,237
15,-73.977953,40.762633,237
15,-73.978171,40.762604,237
15,-73.97819,40.762575,237
15,-73.978201,40.762808,237
15,-73.978083,40.762829,237
15,-73.978187,40.76275,237
15,-73.97840499999998,40.76255,237
15,-73.978267,40.762726,237
15,-73.978125,40.762802,237
15,-73.978138,40.762748,237
15,-73.978092,40.762802,237
15,-73.978441,40.762495,237
15,-73.97846,40.762559,237
15,-73.978323,40.763068,237
15,-73.97851,40.762798,237
15,-73.978513,40.762342,237
15,-73.978537,40.762605,237
15,-73.97851,40.762448,237
15,-73.978513,40.762737,237
15,-73.978488,40.762223,237
15,-73.978543,40.76211,237
15,-73.978578,40.762074,237
15,-73.978622,40.762185,237
15,-73.978638,40.761982,237
15,-73.978543,40.762008,237
15,-73.978808,40.762033,237
15,-73.978582,40.761938,237
15,-73.978767,40.761908,237
15,-73.97889,40.762235,237
15,-73.97880999999998,40.761791,237
15,-73.978643,40.761702,237
15,-73.97887299999998,40.761928,237
15,-73.978628,40.76173,237
15,-73.978373,40.761766,237
15,-73.978954,40.761976,237
15,-73.979042,40.761847,237
15,-73.979017,40.762105,237
15,-73.978907,40.76183,237
15,-73.978865,40.76178,237
15,-73.978527,40.76168,237
15,-73.97895699999998,40.761751,237
15,-73.978941,40.761758,237
15,-73.97884899999998,40.761637,237
15,-73.978882,40.761524,237
15,-73.97896199999998,40.761563,237
15,-73.9791,40.761863,237
15,-73.97857999999998,40.76163,237
15,-73.97870799999998,40.761487,237
15,-73.978638,40.761478,237
15,-73.978389,40.761698,237
15,-73.978757,40.76144,237
15,-73.97862,40.761482,237
15,-73.978187,40.761595,237
15,-73.978342,40.761632,237
15,-73.978215,40.761597,237
15,-73.97816,40.761848,237
15,-73.97918199999998,40.76179,237
15,-73.979173,40.76189,237
15,-73.978925,40.761363,237
15,-73.978885,40.761393,237
15,-73.978952,40.761443,237
15,-73.978897,40.761278,237
15,-73.978415,40.76128,237
15,-73.978453,40.761293,237
15,-73.978458,40.761245,237
15,-73.97815,40.76142,237
15,-73.978069,40.761701,237
15,-73.97788199999998,40.761749,237
15,-73.978071,40.76202,237
15,-73.978207,40.762016,237
15,-73.979465,40.761767,237
15,-73.979162,40.761277,237
15,-73.979027,40.761093,237
15,-73.97892199999998,40.761062,237
15,-73.97821299999998,40.761227,237
15,-73.978509,40.761168,237
15,-73.978143,40.761122,237
15,-73.978038,40.761161,237
15,-73.97784199999998,40.761668,237
15,-73.97780199999998,40.761631,237
15,-73.977658,40.761679,237
15,-73.97964299999998,40.761901,237
15,-73.97961999999998,40.761715,237
15,-73.97954,40.761782,237
15,-73.979563,40.76183,237
15,-73.979183,40.761128,237
15,-73.979448,40.761327,237
15,-73.97931099999998,40.761452,237
15,-73.979382,40.761183,237
15,-73.979347,40.7614,237
15,-73.97931,40.76103,237
15,-73.979386,40.76145,237
15,-73.979377,40.761466,237
15,-73.979037,40.760853,237
15,-73.979235,40.76095,237
