Cluster_ID,Longitude,Latitude,Number_Of_Points
1,-73.95469,40.765647,13
2,-73.99155,40.750127,145
3,-73.973663,40.784487,7
4,-73.98129,40.737155,6
5,-73.99440199999998,40.750958,93
6,-73.990695,40.750835,10
7,-73.783387,40.648552,35
8,-73.96224999999998,40.778869,36
9,-73.98137199999998,40.780905,35
10,-73.95811399999998,40.725043,6
11,-73.97836599999998,40.766533,9
12,-73.995014,40.73992,12
13,-73.99351,40.749788,31
14,-73.95843,40.768642,6
15,-73.980507,40.730465,11
16,-73.98966199999998,40.756585,9
17,-73.830388,40.759493,15
18,-73.990643,40.756048,6
19,-73.974726,40.741956,43
20,-74.001242,40.716432,6
21,-74.004638,40.741867,11
22,-73.990497,40.7559,8
23,-73.87447,40.77417,26
24,-74.00564,40.750957,14
25,-73.96158599999998,40.779822,8
26,-73.949881,40.772046,6
27,-73.977728,40.778787,7
28,-73.96205299999998,40.77604,18
29,-73.99473299999998,40.750384,14
30,-74.016057,40.711327,8
31,-74.00622699999998,40.734277,7
32,-73.975052,40.765158,6
33,-74.006645,40.751207,12
34,-73.872995,40.773998,7
35,-74.00023799999998,40.73778,6
36,-73.97806799999998,40.752362,43
37,-73.98062799999998,40.733897,7
38,-74.002762,40.728608,6
39,-73.98740999999998,40.775995,11
40,-73.97749399999998,40.752054,6
41,-73.961061,40.760753,9
42,-73.98241,40.73122,6
43,-73.987762,40.76993,6
44,-73.98220499999998,40.774237,8
45,-73.98222599999998,40.768442,11
46,-73.84432099999998,40.721335,7
47,-73.955534,40.779627,6
48,-74.006775,40.730583,7
49,-73.863372,40.770003,20
50,-73.96071899999998,40.775586,6
51,-74.00400999999998,40.725712,16
52,-73.97161699999998,40.7632,9
53,-73.776689,40.645306,19
54,-73.95993,40.773507,9
55,-73.96130999999998,40.76899,9
56,-73.95457299999998,40.78389,7
57,-73.86265,40.769015,32
58,-73.97593,40.74882,9
59,-73.954233,40.764141,9
60,-74.002848,40.760533,9
61,-74.015803,40.714493,7
62,-73.980777,40.741954,8
63,-73.95291,40.783057,11
64,-73.97329499999998,40.763805,9
65,-73.97168,40.746429,6
66,-73.99338899999998,40.752428,14
67,-73.902007,40.763987,6
68,-73.99966499999998,40.753816,7
69,-73.994528,40.750645,7
70,-73.97511799999998,40.741717,9
71,-73.994684,40.745578,6
72,-73.983513,40.747023,6
73,-73.981025,40.774258,7
74,-73.98723699999998,40.744488,6
75,-73.988938,40.736588,13
76,-73.99118,40.717429,6
77,-73.972736,40.780856,11
78,-74.00809599999998,40.738827,10
79,-73.95737699999998,40.769967,7
80,-73.977991,40.754599,7
81,-73.99286399999998,40.733928,6
82,-73.87081,40.773722,43
83,-73.991128,40.733223,7
84,-73.970752,40.78343,8
85,-73.982273,40.746002,7
86,-73.86334499999998,40.76972,8
87,-73.96245299999998,40.772973,8
88,-73.9863,40.758805,7
89,-73.952498,40.772201,9
90,-73.982192,40.731822,6
91,-73.967798,40.762513,15
92,-73.97656499999998,40.739472,10
93,-73.996465,40.753122,7
94,-73.976968,40.751878,6
95,-73.986208,40.73457,11
96,-73.981256,40.780718,6
97,-73.98907199999998,40.758164,7
98,-73.959058,40.771793,7
99,-73.978125,40.762802,6
100,-73.98268299999998,40.731158,6
101,-73.976399,40.739833,6
102,-73.984705,40.768363,8
103,-73.979771,40.78626,8
104,-73.97388599999998,40.763186,6
105,-73.97931199999998,40.786886,6
106,-73.974022,40.757283,6
107,-73.980115,40.742967,6
108,-73.97413799999998,40.783777,7
109,-73.972387,40.786325,6
110,-73.97863599999998,40.756198,6
111,-73.88529,40.773114,20
112,-73.954632,40.778053,6
113,-73.973797,40.791952,6
114,-73.979273,40.765146,6
115,-73.95602599999998,40.771886,6
116,-73.960492,40.775795,6
117,-73.95541,40.782666,6
118,-73.953664,40.790822,6
119,-74.00490499999998,40.737522,6
120,-73.980613,40.750974,6
121,-73.982307,40.768313,6
122,-73.95559799999998,40.787825,6
123,-73.974517,40.756656,6
124,-73.98607,40.734691,6
125,-74.017201,40.705338,6
