,Unnamed: 0,Unnamed: 0.1,vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
13224,13432,387632,VTS,2009-01-15 12:00:00,2009-01-15 12:09:00,1,1.99,-73.947828,40.787172,,,-73.952943,40.76771,CASH,7.7,0.0,,0.0,0.0,7.7
179164,182162,5284328,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,1,0.53,-73.95469,40.765647,,,-73.960918,40.769447,CASH,5.3,0.0,,0.0,0.0,5.3
206366,209796,6084730,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,2,0.55,-73.983435,40.755328,,,-73.978848,40.761533,CASH,4.5,0.0,,0.0,0.0,4.5
125,128,3777,VTS,2009-01-15 12:00:00,2009-01-15 12:19:00,1,7.860000000000001,-73.94963699999998,40.787687,,,-74.00483199999998,40.709645,CASH,20.1,0.0,,0.0,0.0,20.1
438558,445928,12923474,CMT,2009-01-15 12:00:00,2009-01-15 12:02:04,1,0.4,-73.987295,40.750473,,,-73.98352,40.755893,Cash,3.3,0.0,,0.0,0.0,3.3
122535,124611,3618734,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,1,0.05,-73.974205,40.763712,,,-73.966882,40.760777,CASH,3.7,0.0,,0.0,0.0,3.7
348613,354477,10273500,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,2,0.8599999999999999,-73.962452,40.772927,,,-73.950607,40.77402,CASH,6.9,0.0,,0.0,0.0,6.9
243315,247368,7175967,VTS,2009-01-15 12:00:00,2009-01-15 12:12:00,2,2.08,-73.97023699999998,40.784027,,,-73.97023699999998,40.784027,CASH,8.5,0.0,,0.0,0.0,8.5
298392,303396,8802531,VTS,2009-01-15 12:00:00,2009-01-15 12:15:00,2,2.61,-73.983878,40.77568,,,-73.95285,40.783208,CASH,10.1,0.0,,0.0,0.0,10.1
174844,177755,5158302,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,5,0.6099999999999999,-73.987915,40.754572,,,-73.99280799999998,40.746895,Credit,7.3,0.0,,8.0,0.0,15.3
324019,329470,9553372,VTS,2009-01-15 12:00:00,2009-01-15 12:19:00,1,4.73,-73.99155,40.750127,,,-74.011278,40.70489,CASH,14.5,0.0,,0.0,0.0,14.5
375354,381660,11064769,VTS,2009-01-15 12:00:00,2009-01-15 12:23:00,5,3.15,-73.95519199999998,40.781063,,,-73.984848,40.741227,Credit,13.7,0.0,,3.0,0.0,16.7
